Size,avg_salary
10000+ employees,116090.90909090909
51 to 200 employees,112305.55555555556
1 to 50 employees,105700.0
5001 to 10000 employees,100908.45070422535
201 to 500 employees,99935.77981651376
1001 to 5000 employees,97760.71428571429
501 to 1000 employees,93909.83606557376
